"Name","Runtime","Sweep","batch_size","dropout","embed_dim","gamma","head_dim","hidden_layer_depth","lr","mlp_head_hidden_layers_depth","mlp_head_number_hidden_layers","num_encoder_layers","num_heads","number_hidden_layers","optimizer","patch_size","scheduler","weight_decay","Train Accuracy","Train Loss","Train Per Class Accuracy","Validation Accuracy","Validation Loss","Validation Per Class Accuracy"
"divine-sweep-25","343","ict3dqbx","256","0.5","32","0.8123477887914756","64","512","0.0004974183358436882","128","","1","2","","AdamW","8","ExponentialLR","0.01","0.403925","2.0513076022931727","0.4041377053981405","0.3928","2.0601859956979753","0.39157434609711944"
"restful-sweep-24","401","ict3dqbx","128","0.75","64","0.8690471413285722","8","512","0.001124417853917581","256","","2","5","","AdamW","16","ExponentialLR","0.001","0.383375","2.07426352775135","0.383665944489516","0.3909","2.0687523537044283","0.3892138717825405"
"laced-sweep-34","350","ict3dqbx","256","0.25","64","0.9259827268426049","8","512","0.0015935237371436425","64","","4","3","","AdamW","16","ExponentialLR","0","0.43555","2.021808813331993","0.4358620430340221","0.3864","2.0714046180248262","0.3861410900925245"
"dark-sweep-19","369","ict3dqbx","128","0.5","32","0.8919563866238847","128","128","0.0031272149078057088","64","","1","8","","AdamW","16","ExponentialLR","0.1","0.365875","2.088302084813103","0.36618846151939194","0.3703","2.0856397348114206","0.3690687540651903"
"wild-sweep-9","359","ict3dqbx","128","0.5","64","0.951710480077719","64","512","0.003575884274307278","512","","1","4","","AdamW","4","ExponentialLR","0.1","0.3457","2.106974006080018","0.3459993056015068","0.3465","2.1054239333430425","0.3449165660937379"
"vital-sweep-22","287","ict3dqbx","256","0.75","32","0.9931126413343572","16","64","0.002916010882156674","256","","1","3","","AdamW","16","ExponentialLR","0.001","0.3277","2.1323890306387736","0.3276660026795417","0.3395","2.122698652744293","0.3392883266292258"
"good-sweep-13","377","ict3dqbx","128","0.25","32","0.9981617119341352","16","128","0.001436323328626618","1024","","3","2","","AdamW","8","ExponentialLR","0.001","0.356475","2.0965734678335464","0.3577272119923574","0.3379","2.114438075053541","0.33327777309970996"
"earnest-sweep-21","351","ict3dqbx","256","0","16","0.8358157073434964","32","1024","0.005955919781118703","128","","1","10","","AdamW","4","ExponentialLR","0.01","0.3239","2.12932750070171","0.3237805780042323","0.3216","2.136927235126495","0.3229560607774814"
"icy-sweep-8","1172","3q67boix","128","0.75","32","0.9","64","512","0.001081594190960545","512","","3","8","","AdamW","2","ExponentialLR","0","0.290625","2.1701879105248008","0.2905564703801691","0.2968","2.1637169711197477","0.2965303812371783"
"legendary-sweep-10","316","ict3dqbx","256","0.75","16","0.9428380877667653","64","64","0.0029384676219767498","256","","1","10","","AdamW","8","ExponentialLR","0.01","0.28045","2.1803876548815686","0.2808075658604124","0.2711","2.191414052248001","0.27099912578625873"
"glamorous-sweep-3","346","3q67boix","256","0.75","32","0.9","64","256","0.0028047766756272925","512","","2","6","","AdamW","4","ExponentialLR","0.1","0.254125","2.204404966087098","0.253986989250296","0.2612","2.194291907548904","0.2613386805837526"
"sweepy-sweep-28","1516","3q67boix","128","0","32","0.9","32","128","0.0029718715603415484","1024","","5","9","","AdamW","2","ExponentialLR","0.1","0.233575","2.2122427457437728","0.23353273908686523","0.2591","2.190555548366112","0.258766552336384"
"unique-sweep-18","489","3q67boix","256","0.25","32","0.9","32","1024","0.0040530534957775345","256","","1","7","","AdamW","2","ExponentialLR","0.01","0.2091","2.2513881883803446","0.2088311481699865","0.2526","2.208078134059906","0.25021079793685175"
"radiant-sweep-6","359","3q67boix","128","0.25","32","0.9","16","512","0.0033105047723326667","256","","1","9","","AdamW","4","ExponentialLR","0.01","0.26865","2.192200483986364","0.2690469436039514","0.2424","2.217771702174899","0.23906500546396095"
"spring-sweep-15","497","ict3dqbx","128","0.25","16","0.8027638607703058","32","512","0.0036228659366414327","256","","1","8","","AdamW","2","ExponentialLR","0.001","0.221425","2.23967469843051","0.2217526279816187","0.2073","2.254619396185573","0.205383780334797"
"sunny-sweep-35","635","3q67boix","128","0.5","32","0.9","64","128","0.003376775354315084","512","","4","10","","AdamW","4","ExponentialLR","0.1","0.1596","2.261319902377388","0.15944346969525486","0.1564","2.2645774913739554","0.15725808115629367"
"vivid-sweep-18","409","ict3dqbx","128","0.5","16","0.8015871904973143","32","64","0.0050258785814395095","64","","2","6","","AdamW","16","ExponentialLR","0.0001","0.136875","2.3242375591692452","0.13651655171208682","0.1357","2.324857645396945","0.1371179004146037"
"daily-sweep-30","354","ict3dqbx","256","0","32","0.8603505589171769","128","128","0.0024091352799594464","256","","4","3","","AdamW","16","ExponentialLR","0.01","0.136425","2.3248550861504427","0.13693061620114455","0.1342","2.328630006313324","0.13229423923351896"
"radiant-sweep-25","553","3q67boix","128","0","32","0.9","64","128","0.002899717819349924","256","","1","9","","AdamW","2","ExponentialLR","0.0001","0.101","2.3600376657784556","0.10134856208571116","0.1029","2.3580061031293265","0.10150955826058054"
"firm-sweep-31","601","3q67boix","128","0","32","0.9","64","512","0.0024814266615566447","1024","","5","7","","AdamW","4","ExponentialLR","0.01","0.0996","2.3615602296762193","0.1","0.1016","2.3606761980660353","0.1"
"genial-sweep-7","418","3q67boix","256","0","32","0.9","64","1024","0.0023564375489989416","512","","3","9","","AdamW","4","ExponentialLR","0.01","0.09965","2.361305144182436","0.1","0.1014","2.3591977536678312","0.1"
"stellar-sweep-2","1305","3q67boix","256","0.5","32","0.9","64","256","0.0026162700941472447","256","","3","10","","AdamW","2","ExponentialLR","0.0001","0.09965","2.3615290693416715","0.1","0.1014","2.3591977536678312","0.1"
"comic-sweep-5","948","3q67boix","128","0.25","32","0.9","32","128","0.004484257063254337","1024","","3","8","","AdamW","2","ExponentialLR","0.01","0.09965","2.3025848865509033","0.1","0.1014","2.302584892586817","0.1"
"astral-sweep-26","486","3q67boix","128","0.25","32","0.9","64","1024","0.003950480731156765","256","","3","8","","AdamW","4","ExponentialLR","0.0001","0.09965","2.3025848865509033","0.1","0.1014","2.302584892586817","0.1"
"classic-sweep-39","447","ict3dqbx","128","0.5","16","0.9178535328107964","128","128","0.00562982708960576","256","","4","4","","AdamW","8","ExponentialLR","0.001","0.09965","2.3025848865509033","0.1","0.1014","2.302584892586817","0.1"
"exalted-sweep-36","626","3q67boix","256","0.5","32","0.9","32","512","0.0022079704618422776","1024","","2","6","","AdamW","2","ExponentialLR","0","0.09985","2.3613299047871","0.100199392961732","0.1014","2.3591977536678312","0.10000148744078138"
"confused-sweep-31","341","ict3dqbx","128","0.75","64","0.9613649075204624","8","256","0.007951890199388774","256","","1","1","","AdamW","8","ExponentialLR","0.0001","0.09975","2.302586972903901","0.10010037271925531","0.1014","2.302584892586817","0.1"
"clear-sweep-8","2024","ict3dqbx","128","0.75","32","0.8626910262125078","128","256","0.007142696225064334","512","","4","8","","AdamW","2","ExponentialLR","0.001","0.09965","2.3025848865509033","0.1","0.1014","2.302584892586817","0.1"
"ruby-sweep-29","458","ict3dqbx","256","0.25","32","0.8605329377059258","128","256","0.0046263949422310335","64","","3","8","","AdamW","4","ExponentialLR","0","0.10025","2.3607080043501156","0.1003275914035376","0.1008","2.361248528957367","0.10048985194318424"
"dandy-sweep-20","6305","ict3dqbx","256","0.75","32","0.8021199942326167","128","512","0.0014568143972148685","1024","","5","5","","AdamW","2","ExponentialLR","0.001","0.097125","2.301457957856974","0.09745922713485188","0.1007","2.3011500358581545","0.09933670389226797"
"azure-sweep-14","821","3q67boix","256","0.25","32","0.9","32","512","0.0047586472862496424","256","","3","6","","AdamW","2","ExponentialLR","0","0.099925","2.3610314578767033","0.1","0.1003","2.3617368161678316","0.1"
"lunar-sweep-32","2121","3q67boix","256","0","32","0.9","32","1024","0.0018855135043034264","1024","","4","7","","AdamW","2","ExponentialLR","0.0001","0.099925","2.3613300247556843","0.1","0.1003","2.3617368161678316","0.1"
"autumn-sweep-4","385","ict3dqbx","128","0.75","64","0.8814510121275958","8","128","0.009944713143412958","64","","1","6","","AdamW","8","ExponentialLR","0.01","0.100325","2.3607449211632483","0.09992130052865882","0.098","2.363544077812871","0.1"
"driven-sweep-17","554","ict3dqbx","128","0","32","0.8860410720443705","16","256","0.004898643691800677","128","","3","10","","AdamW","8","ExponentialLR","0.0001","0.1005","2.3606616673759","0.1","0.098","2.363544077812871","0.1"
"pleasant-sweep-9","742","3q67boix","256","0","32","0.9","32","256","0.0027742301008647574","512","","2","9","","AdamW","2","ExponentialLR","0.0001","0.100575","2.3606084881314806","0.1","0.0977","2.3642758786678315","0.1"
"royal-sweep-2","644","ict3dqbx","256","0.25","64","0.8670594500879192","64","64","0.004146889539541347","1024","","5","8","","AdamW","4","ExponentialLR","0.001","0.100575","2.3605338464117356","0.1","0.0977","2.3642758786678315","0.1"
"elated-sweep-2","633","lc79qu93","128","0.25","32","0.9","64","128","0.0036588335061276665","512","","5","7","","AdamW","4","ExponentialLR","0.001","0.1012","2.359962785586762","0.1","0.0952","2.364928571483757","0.1"
"dandy-sweep-41","515","ict3dqbx","128","0","32","0.8722081950472671","16","512","0.0056217753917731875","64","","2","4","","AdamW","2","ExponentialLR","0.001","0.1012","2.3598629453311712","0.1","0.0952","2.364928571483757","0.1"
